id,name,price,cate1
578,[특별구성]아마조니아 아사이베리 50gX13팩+쇼핑백 2장,181420,식품·건강
782,닥터슈퍼칸 12박스/12개월,164570,식품·건강
631,정관장 홍삼활력 PLUS 7박스/7개월,327000,식품·건강
349,노비타 비데 슈퍼슬림+세인트갈렌 칼블럭 세트,189000,가전·디지털
1319,미즈온 쌩얼 같은 미백 크리스탈 미라클 크림 35ML 4개 + 교체 퍼프 4개 + 마스크팩 20장 + 상품평 미즈온 워터 볼륨 아쿠아 젤 크림,69900,화장품·이미용
375,"미고머스트해브레깅스 5+1 / 본구성:기모치마레깅스 2종(블랙,  / 특별구성:사은품: 기모레깅스(브라운",38800,가전·디지털
754,[백수오 퀸(Queen)] 백수오 퀸 프리미엄 1세트(4주),149000,식품·건강
976,바로먹는 웰빙해초 20gX16봉,38900,식품·건강
1230,[조성아 22 (CHOSUNGAH TWENTYTWO)] [조성아22] 바운스업팩트 마스터 본품 2개 + 리필 2개 + 리얼췩 스무더 1종 + 무료체험분 + 유니레버 바세린 보습 2종! 롯데단독패키지,78900,화장품·이미용
796,울트라플로라 프로바이오틱스 4병/총8개월분,145270,식품·건강
1267,전인화 고유에 기초세트,149000,화장품·이미용
921,백수오 궁 [5개월],262000,식품·건강
1102,[이자녹스] [단품] 이자녹스 리액티브 컨센트레이팅 크림(주름기능성),72000,화장품·이미용
284,2014년형 헬스믹 프로,153070,가전·디지털
316,[삼성 TV] [스마트 40팩] 삼성 Full HD 3D LED 스마트 TV 101cm (UN40F6360AF) + 삼성 Full HD 3D LED 스마트 TV 80cm (UN32F6400AF),1580970,가전·디지털
629,영산포 숙성 홍어 모둠살회 200gX4팩+홍어 몸살회 200gX2팩+홍어회 무침 300gX2팩,38900,식품·건강
258,가마솥 중탕기 웰빙 오쿠(OC-2200PR),358000,가전·디지털
164,"[무이자 24개월!신한,삼성,KB 국민 카드시. 그 외카드 12개월][스탠드형] 삼성 스마트에어컨 Q9000 클래식 에메랄드 스탠드",1719000,가전·디지털
1490,베리떼 에센스 마블팩트,74250,화장품·이미용
1279,[오리팬] [단품] 오리팬 플러스 비누 1박스(55g x4),27000,화장품·이미용
346,파크론 온수매트 퀸+사은품,298000,가전·디지털
173,[일월 온수매트]2014년형 좌우 분리난방 온수매트 더블 (200 x 145cm),159000,가전·디지털
601,[정관장] 홍삼활력플러스(40mlx30포) 3박스＋홍삼정옥고(10gx5포) 1상자,198740,식품·건강
1228,New 리더스링클 특별패키지,148000,화장품·이미용
